"id","description","chart_template_id/id","type_tax_use","name","type","amount","account_collected_id/id","account_paid_id/id","base_code_id/id","tax_code_id/id","ref_base_code_id/id","ref_tax_code_id/id","base_sign","ref_tax_sign","ref_base_sign","tax_sign"
"tax_1","A0","l10n_tn","Purchase","Exonération TVA (achats) 0%","Percent","","l10n_tn.pcg_43666","l10n_tn.pcg_43666","BAEX","","BAEX","","-1","-1","1","1"
"tax_2","A12","l10n_tn","Purchase","TVA déductible (achats) 12%","Percent","0.12","l10n_tn.pcg_43666","l10n_tn.pcg_43666","BA12","TA12","BA12","TA12","-1","-1","1","1"
"tax_3","A6","l10n_tn","Purchase","TVA déductible (achats) 6%","Percent","0.06","l10n_tn.pcg_43666","l10n_tn.pcg_43666","BA6","TA6","BA6","TA6","-1","-1","1","1"
"tax_4","I12","l10n_tn","Purchase","TVA déd/immob (achats) 12%","Percent","0.18","l10n_tn.pcg_43666","l10n_tn.pcg_43666","BAI12","TAI12","BAI12","TAI12","-1","-1","1","1"
"tax_5","I18","l10n_tn","Purchase","TVA déd/immob (achats) 18%","Percent","0.18","l10n_tn.pcg_43666","l10n_tn.pcg_43666","BAI18","TAI18","BAI18","TAI18","-1","-1","1","1"
"tax_6","I6","l10n_tn","Purchase","TVA déd/immob (achats) 6%","Percent","0.06","l10n_tn.pcg_43666","l10n_tn.pcg_43666","BAI6","TAI6","BAI6","TAI6","-1","-1","1","1"
"tax_7","A18","l10n_tn","Purchase","TVA déductible (achats) 18%","Percent","0.18","l10n_tn.pcg_43666","l10n_tn.pcg_43666","BA18","TA18","BA18","TA18","-1","-1","1","1"
"tax_8","4","l10n_tn","Sale","TVA 0% ","Percent","","l10n_tn.pcg_436711","l10n_tn.pcg_436711","AONI","","AONI","","1","1","-1","-1"
"tax_9","3","l10n_tn","Sale","TVA 12%","Percent","0.12","l10n_tn.pcg_436711","l10n_tn.pcg_436711","BC12","TC12","BC12","TC12","1","1","-1","-1"
"tax_10","2","l10n_tn","Sale","TVA 6%","Percent","0.06","l10n_tn.pcg_436711","l10n_tn.pcg_436711","BC6","TC6","BC6","TC6","1","1","-1","-1"
"tax_11","1","l10n_tn","Sale","TVA 18%","Percent","0.18","l10n_tn.pcg_436711","l10n_tn.pcg_436711","BC18","TC18","BC18","TC18","1","1","-1","-1"
